2018-07-30 10:19:21.167 DEBUG (main.go:main.initLogger:13) init logger success.
2018-07-30 10:19:21.202 DEBUG (main.go:main.Run:18) user server is running
2018-07-30 10:19:22.202 DEBUG (main.go:main.Run:18) user server is running
2018-07-30 10:19:23.202 DEBUG (main.go:main.Run:18) user server is running
2018-07-30 10:19:24.203 DEBUG (main.go:main.Run:18) user server is running
2018-07-30 11:18:18.707 DEBUG (logger.go:logger.Debug:24) init logger success.
2018-07-30 11:18:18.745 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:19.745 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:20.745 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:21.745 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:22.747 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:23.748 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:24.749 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:25.75 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:26.75 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:27.75 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:28.751 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:29.751 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:18:30.752 DEBUG (logger.go:logger.Debug:24) user server is running
2018-07-30 11:19:55.352 DEBUG (main.go:main.initLogger:20) init logger success.
2018-07-30 11:19:55.386 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:19:56.386 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:19:57.386 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:19:58.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:19:59.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:00.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:01.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:02.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:03.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:04.387 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:05.388 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:06.388 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:07.389 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:08.389 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:09.39 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:20:10.391 DEBUG (main.go:main.Run:26) user server is running
